JobCodeDesc
Trainee ColdLine
ColdLine Team Member
Cashier
Trainee HotLine
HotLine Team Member
Hotline Trainer
FOH Trainee
BOH Trainee
Cook
Supervisor
Manager
Assistant Manager
Maintenance Manager
General Manager
Custard
ColdLine Trainer
Inventory Manager
Multi-unit Manager
Development Manager
Regional Manager
Trainee
Hourly Manager
Hourly
CSS Emergency Cashier
Assistant General Manager
Interface Employee
CSS Cashier
Sr. General Manager
Trainer
JRI Cook
JRI Cash
JRI GM
JRI Manager
JRI Supervisor
NA FOH
NA BOH
Register Training Mode
FOH Team
BOH Team
JRI Cater
AGM 3
Corporate
Catering
Team Member
AGM 1
AGM 2
""
JRI Cook Train
JRI Cashier Train
DT Test
Sr Manager
INTERNET EMPLOYEE
MIT
